Id,State,Country,Lat,Long,Date,ConfirmedCases,Fatalities,DateTimeStamp,Year,Month,WeekNumber,Day,population
1,,Afghanistan,33.0,65.0,2020-01-22,0.0,0.0,2020-01-22,2020,1,4,22,27657145
2,,Afghanistan,33.0,65.0,2020-01-23,0.0,0.0,2020-01-23,2020,1,4,23,27657145
3,,Afghanistan,33.0,65.0,2020-01-24,0.0,0.0,2020-01-24,2020,1,4,24,27657145
4,,Afghanistan,33.0,65.0,2020-01-25,0.0,0.0,2020-01-25,2020,1,4,25,27657145
5,,Afghanistan,33.0,65.0,2020-01-26,0.0,0.0,2020-01-26,2020,1,4,26,27657145
6,,Afghanistan,33.0,65.0,2020-01-27,0.0,0.0,2020-01-27,2020,1,5,27,27657145
7,,Afghanistan,33.0,65.0,2020-01-28,0.0,0.0,2020-01-28,2020,1,5,28,27657145
8,,Afghanistan,33.0,65.0,2020-01-29,0.0,0.0,2020-01-29,2020,1,5,29,27657145
9,,Afghanistan,33.0,65.0,2020-01-30,0.0,0.0,2020-01-30,2020,1,5,30,27657145
10,,Afghanistan,33.0,65.0,2020-01-31,0.0,0.0,2020-01-31,2020,1,5,31,27657145
11,,Afghanistan,33.0,65.0,2020-02-01,0.0,0.0,2020-02-01,2020,2,5,1,27657145
12,,Afghanistan,33.0,65.0,2020-02-02,0.0,0.0,2020-02-02,2020,2,5,2,27657145
13,,Afghanistan,33.0,65.0,2020-02-03,0.0,0.0,2020-02-03,2020,2,6,3,27657145
14,,Afghanistan,33.0,65.0,2020-02-04,0.0,0.0,2020-02-04,2020,2,6,4,27657145
15,,Afghanistan,33.0,65.0,2020-02-05,0.0,0.0,2020-02-05,2020,2,6,5,27657145
16,,Afghanistan,33.0,65.0,2020-02-06,0.0,0.0,2020-02-06,2020,2,6,6,27657145
17,,Afghanistan,33.0,65.0,2020-02-07,0.0,0.0,2020-02-07,2020,2,6,7,27657145
18,,Afghanistan,33.0,65.0,2020-02-08,0.0,0.0,2020-02-08,2020,2,6,8,27657145
19,,Afghanistan,33.0,65.0,2020-02-09,0.0,0.0,2020-02-09,2020,2,6,9,27657145
20,,Afghanistan,33.0,65.0,2020-02-10,0.0,0.0,2020-02-10,2020,2,7,10,27657145
21,,Afghanistan,33.0,65.0,2020-02-11,0.0,0.0,2020-02-11,2020,2,7,11,27657145
22,,Afghanistan,33.0,65.0,2020-02-12,0.0,0.0,2020-02-12,2020,2,7,12,27657145
23,,Afghanistan,33.0,65.0,2020-02-13,0.0,0.0,2020-02-13,2020,2,7,13,27657145
24,,Afghanistan,33.0,65.0,2020-02-14,0.0,0.0,2020-02-14,2020,2,7,14,27657145
25,,Afghanistan,33.0,65.0,2020-02-15,0.0,0.0,2020-02-15,2020,2,7,15,27657145
26,,Afghanistan,33.0,65.0,2020-02-16,0.0,0.0,2020-02-16,2020,2,7,16,27657145
27,,Afghanistan,33.0,65.0,2020-02-17,0.0,0.0,2020-02-17,2020,2,8,17,27657145
28,,Afghanistan,33.0,65.0,2020-02-18,0.0,0.0,2020-02-18,2020,2,8,18,27657145
